Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.58652e-15
 100000 4.06857e-15
 150000 6.86924e-15
 200000 9.8589e-15
 250000 1.30044e-14
 300000 1.62778e-14
 350000 1.96482e-14
 400000 2.312e-14
 450000 2.67016e-14
 500000 3.03875e-14
 550000 3.41853e-14
 600000 3.80926e-14
 650000 4.21065e-14
 700000 4.62255e-14
 750000 5.04589e-14
 800000 5.48081e-14
 850000 5.9273e-14
 900000 6.38503e-14
 950000 6.85314e-14
 1e+06 7.33264e-14
 1e+06 7.3004e-14
 2e+06 1.93146e-13
 3e+06 3.5703e-13
 4e+06 5.67791e-13
 5e+06 8.23015e-13
 6e+06 1.11882e-12
 7e+06 1.45818e-12
 8e+06 1.842e-12
 9e+06 2.2698e-12
 1e+07 2.74e-12
 1.1e+07 3.25459e-12
 1.2e+07 3.81409e-12
 1.3e+07 4.41675e-12
 1.4e+07 5.06227e-12
 1.5e+07 5.74973e-12
 1.6e+07 6.48028e-12
 1.7e+07 7.2539e-12
 1.8e+07 8.07018e-12
 1.9e+07 8.92738e-12
 2e+07 9.82657e-12
 2e+07 9.96778e-12
 4e+07 3.71019e-11
 6e+07 8.03963e-11
 8e+07 1.38673e-10
 1e+08 2.1132e-10
 1.2e+08 2.97352e-10
 1.4e+08 3.96496e-10
 1.6e+08 5.08699e-10
 1.8e+08 6.33727e-10
 2e+08 7.71755e-10
 2.2e+08 9.23596e-10
 2.4e+08 1.08841e-09
 2.6e+08 1.26652e-09
 2.8e+08 1.45586e-09
 3e+08 1.65588e-09
 3.2e+08 1.86635e-09
 3.4e+08 2.08901e-09
 3.6e+08 2.3225e-09
 3.8e+08 2.5683e-09
 4e+08 2.82456e-09
 4e+08 3.26533e-09
 8e+08 1.10906e-08
 1.2e+09 2.26095e-08
 1.6e+09 3.45183e-08
 2e+09 5.14697e-08
