Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 3.79268e+07
 100000 1.47575e+08
 150000 3.23127e+08
 200000 5.59242e+08
 250000 8.51014e+08
 300000 1.19394e+09
 350000 1.58387e+09
 400000 2.01703e+09
 450000 2.4899e+09
 500000 2.99928e+09
 550000 3.54223e+09
 600000 4.11604e+09
 650000 4.71821e+09
 700000 5.34646e+09
 750000 5.9987e+09
 800000 6.67297e+09
 850000 7.36752e+09
 900000 8.08071e+09
 950000 8.81103e+09
 1e+06 9.55712e+09
 1e+06 9.56019e+09
 2e+06 2.64117e+10
 3e+06 4.46322e+10
 4e+06 6.31182e+10
 5e+06 8.16547e+10
 6e+06 1.00202e+11
 7e+06 1.18759e+11
 8e+06 1.37321e+11
 9e+06 1.55888e+11
 1e+07 1.74467e+11
 1.1e+07 1.93057e+11
 1.2e+07 2.11659e+11
 1.3e+07 2.30275e+11
 1.4e+07 2.4889e+11
 1.5e+07 2.67494e+11
 1.6e+07 2.8609e+11
 1.7e+07 3.04677e+11
 1.8e+07 3.23237e+11
 1.9e+07 3.41774e+11
 2e+07 3.60292e+11
 2e+07 3.58703e+11
 4e+07 7.29612e+11
 6e+07 1.10415e+12
 8e+07 1.47768e+12
 1e+08 1.85122e+12
 1.2e+08 2.22316e+12
 1.4e+08 2.59491e+12
 1.6e+08 2.9658e+12
 1.8e+08 3.33465e+12
 2e+08 3.70634e+12
 2.2e+08 4.07603e+12
 2.4e+08 4.44568e+12
 2.6e+08 4.81655e+12
 2.8e+08 5.18581e+12
 3e+08 5.55398e+12
 3.2e+08 5.92191e+12
 3.4e+08 6.28431e+12
 3.6e+08 6.64896e+12
 3.8e+08 7.01224e+12
 4e+08 7.37625e+12
 4e+08 7.50456e+12
 8e+08 1.46351e+13
