# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 4419.9 -1.00558 741.932 0.988779
200000 4485.27 -0.690006 752.85 1.00365
300000 4441.74 -1.34888 745.654 0.993589
400000 4495.31 -1.27184 754.632 1.00537
500000 4478.78 -1.3112 751.864 1.00155
600000 4499.6 -1.25126 755.349 1.00593
700000 4431 -1.09152 743.809 0.991129
800000 4514.85 0.0457948 757.69 1.01178
900000 4487.78 -1.28032 753.371 1.00374
1000000 4458.09 -0.862826 748.318 0.996984
1100000 4456.96 -1.39608 748.217 0.996592
1200000 4488.2 -1.3221 753.447 1.00346
1300000 4453.81 -0.986168 747.621 0.997096
1400000 4465.34 -1.0809 749.571 0.998743
1500000 4479.58 -1.00251 751.947 1.00195
1600000 4528.95 -1.08112 760.245 1.01271
1700000 4483.8 -0.891457 752.636 1.00326
1800000 4458.77 -1.17354 748.483 0.996913
1900000 4488.27 -1.31606 753.458 1.00361
2000000 4491.64 -1.84119 754.113 1.00424
2100000 4495.97 -1.18825 754.728 1.00596
2200000 4437.74 -0.829628 744.897 0.993099
2300000 4426.53 -1.28975 743.092 0.989716
2400000 4495.58 -1.40747 754.7 1.00521
2500000 4477.83 -0.222177 751.523 1.00314
2600000 4444.75 -0.720707 746.055 0.994474
2700000 4441.68 -0.901031 745.57 0.993902
2800000 4443.82 -0.83709 745.918 0.993493
2900000 4558.02 -1.19458 765.143 1.019
3000000 4441.63 -1.27075 745.623 0.993403
3100000 4416.66 -1.4583 741.464 0.987629
3200000 4422.33 -1.73911 742.463 0.988763
3300000 4452.33 -1.4648 747.452 0.995455
3400000 4469.36 -1.49103 750.314 0.999249
3500000 4474.3 -0.865209 751.039 1.00182
3600000 4448.57 -1.2483 746.784 0.994486
3700000 4468.65 -0.696165 750.061 0.999545
3800000 4432.03 -1.34635 744.024 0.990694
3900000 4416.2 -1.38984 741.376 0.987627
4000000 4474.43 -1.04377 751.09 1.00085
4100000 4462.18 -0.983084 749.025 0.997797
4200000 4519.38 -1.04547 758.633 1.01046
4300000 4481.48 -0.935942 752.255 1.00255
4400000 4466.91 -1.23546 749.86 0.999024
4500000 4490.94 -1.12245 753.874 1.00392
4600000 4509.5 -0.542824 756.891 1.00899
4700000 4428.62 -0.924021 743.382 0.990127
4800000 4471.92 -0.786651 750.626 1.00043
4900000 4534.67 -0.98395 761.189 1.0143
5000000 4448.78 -1.16623 746.806 0.995308
5100000 4443.59 -0.968083 745.902 0.994921
5200000 4508.21 -1.03295 756.757 1.00786
5300000 4472.32 -1.37185 750.791 1.00021
5400000 4425.76 -1.00657 742.916 0.990427
5500000 4427.25 -1.32881 743.22 0.99024
5600000 4474.48 -1.08057 751.105 1.00058
5700000 4449.74 -0.919241 746.925 0.995804
5800000 4425.34 -1.53447 742.935 0.989429
5900000 4442.9 -1.20869 745.826 0.993578
6000000 4468.13 -0.941227 750.015 0.998956
6100000 4457.9 -0.988952 748.307 0.997343
6200000 4430.81 -1.21267 743.797 0.990563
6300000 4494.44 -0.99314 754.439 1.00508
6400000 4438.07 -1.33652 745.037 0.992577
6500000 4521.51 -1.28668 759.031 1.01098
6600000 4419.05 -1.08586 741.803 0.988295
6700000 4518.02 -0.572012 758.327 1.01103
6800000 4487.36 -0.313116 753.138 1.00472
6900000 4444.22 -0.754715 745.972 0.994697
7000000 4414.93 -1.07921 741.111 0.986912
7100000 4491.44 -1.53155 754.026 1.00396
7200000 4420.85 -1.09516 742.107 0.988937
7300000 4423.98 -0.800703 742.582 0.989437
7400000 4479.95 -1.19623 752.041 1.00194
7500000 4503.81 -1.20042 756.047 1.00715
7600000 4471.02 -1.1097 750.529 0.999981
7700000 4462.39 -0.382556 748.958 0.9992
7800000 4471.6 -1.28445 750.656 1.00013
7900000 4475.81 -0.948784 751.306 1.00154
8000000 4431.38 -1.57301 743.953 0.991031
8100000 4466.41 -1.32843 749.791 0.999712
8200000 4459.09 -1.28885 748.557 0.997737
8300000 4473.28 -0.58707 750.82 1.00076
8400000 4467.49 -1.13106 749.941 0.999676
8500000 4457.52 -0.881777 748.224 0.997924
8600000 4486.02 -0.651747 752.969 1.00444
8700000 4439.53 -0.274109 745.103 0.993557
8800000 4437.07 -1.24888 744.854 0.992174
8900000 4496.98 -0.33504 754.755 1.0064
9000000 4404.02 -1.0821 739.28 0.985143
9100000 4445.31 -0.935775 746.185 0.993959
9200000 4438.8 -1.11899 745.122 0.992608
9300000 4416.04 -0.290548 741.165 0.989201
9400000 4456.05 -1.15535 748.024 0.99634
9500000 4460.25 -1.02084 748.707 0.997451
9600000 4493.75 -0.969029 754.319 1.00498
9700000 4442.62 -1.33331 745.8 0.993169
9800000 4473.73 -1.11042 750.984 1.0005
9900000 4510.11 -1.24666 757.112 1.00862
10000000 4396.45 -1.14286 738.019 0.983016
