Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 3.10103e+08
 100000 1.23276e+09
 150000 2.75663e+09
 200000 4.87062e+09
 250000 7.56381e+09
 300000 1.08255e+10
 350000 1.46452e+10
 400000 1.90125e+10
 450000 2.39175e+10
 500000 2.935e+10
 550000 3.53005e+10
 600000 4.17592e+10
 650000 4.87169e+10
 700000 5.61644e+10
 750000 6.40925e+10
 800000 7.24924e+10
 850000 8.13555e+10
 900000 9.06731e+10
 950000 1.00437e+11
 1e+06 1.10639e+11
 1e+06 1.1064e+11
 2e+06 3.95224e+11
 3e+06 7.99708e+11
 4e+06 1.28692e+12
 5e+06 1.83126e+12
 6e+06 2.4151e+12
 7e+06 3.02624e+12
 8e+06 3.65625e+12
 9e+06 4.29932e+12
 1e+07 4.95141e+12
 1.1e+07 5.60974e+12
 1.2e+07 6.27238e+12
 1.3e+07 6.938e+12
 1.4e+07 7.60566e+12
 1.5e+07 8.27475e+12
 1.6e+07 8.94482e+12
 1.7e+07 9.61554e+12
 1.8e+07 1.02867e+13
 1.9e+07 1.09581e+13
 2e+07 1.16297e+13
 2e+07 1.16335e+13
 4e+07 2.5082e+13
 6e+07 3.84647e+13
 8e+07 5.18313e+13
 1e+08 6.52138e+13
 1.2e+08 7.86233e+13
 1.4e+08 9.20217e+13
 1.6e+08 1.05439e+14
 1.8e+08 1.18817e+14
 2e+08 1.32238e+14
 2.2e+08 1.45679e+14
 2.4e+08 1.59064e+14
 2.6e+08 1.72482e+14
 2.8e+08 1.8586e+14
 3e+08 1.99228e+14
 3.2e+08 2.12658e+14
 3.4e+08 2.26052e+14
 3.6e+08 2.39426e+14
 3.8e+08 2.52826e+14
 4e+08 2.66262e+14
 4e+08 2.64858e+14
 8e+08 5.2685e+14
 1.2e+09 7.83018e+14
 1.6e+09 1.03938e+15
 2e+09 1.30831e+15
