Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.49429e-15
 100000 4.2474e-15
 150000 7.82393e-15
 200000 1.215e-14
 250000 1.71992e-14
 300000 2.29617e-14
 350000 2.94424e-14
 400000 3.66384e-14
 450000 4.45454e-14
 500000 5.31712e-14
 550000 6.25169e-14
 600000 7.25787e-14
 650000 8.33551e-14
 700000 9.48407e-14
 750000 1.07043e-13
 800000 1.19958e-13
 850000 1.33594e-13
 900000 1.4795e-13
 950000 1.63026e-13
 1e+06 1.78832e-13
 1e+06 1.78451e-13
 2e+06 6.44703e-13
 3e+06 1.39771e-12
 4e+06 2.43773e-12
 5e+06 3.76259e-12
 6e+06 5.3714e-12
 7e+06 7.26784e-12
 8e+06 9.44955e-12
 9e+06 1.19161e-11
 1e+07 1.46683e-11
 1.1e+07 1.77042e-11
 1.2e+07 2.10241e-11
 1.3e+07 2.46283e-11
 1.4e+07 2.85168e-11
 1.5e+07 3.26913e-11
 1.6e+07 3.71502e-11
 1.7e+07 4.18982e-11
 1.8e+07 4.69301e-11
 1.9e+07 5.22484e-11
 2e+07 5.78511e-11
 2e+07 5.79059e-11
 4e+07 2.29959e-10
 6e+07 5.15802e-10
 8e+07 9.15104e-10
 1e+08 1.42833e-09
 1.2e+08 2.05513e-09
 1.4e+08 2.79682e-09
 1.6e+08 3.65269e-09
 1.8e+08 4.62319e-09
 2e+08 5.70861e-09
 2.2e+08 6.91024e-09
 2.4e+08 8.22598e-09
 2.6e+08 9.65827e-09
 2.8e+08 1.12082e-08
 3e+08 1.28724e-08
 3.2e+08 1.46551e-08
 3.4e+08 1.65583e-08
 3.6e+08 1.85807e-08
 3.8e+08 2.07244e-08
 4e+08 2.29871e-08
 4e+08 2.269e-08
 8e+08 9.16117e-08
 1.2e+09 2.0673e-07
 1.6e+09 3.56466e-07
 2e+09 5.41142e-07
