Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 156800 144328 186817 162649
 100000 618545 568923 738853 642107
 150000 1.37436e+06 1.26331e+06 1.64556e+06 1.42774e+06
 200000 2.41398e+06 2.21799e+06 2.8973e+06 2.50976e+06
 250000 3.72815e+06 3.42437e+06 4.48506e+06 3.87919e+06
 300000 5.30868e+06 4.87452e+06 6.40033e+06 5.52784e+06
 350000 7.14817e+06 6.56109e+06 8.63514e+06 7.44813e+06
 400000 9.23979e+06 8.47718e+06 1.11821e+07 9.63304e+06
 450000 1.1577e+07 1.06165e+07 1.40347e+07 1.20761e+07
 500000 1.41537e+07 1.2973e+07 1.71868e+07 1.47712e+07
 500000 1.41636e+07 1.29897e+07 1.72146e+07 1.47893e+07
 1e+06 5.20022e+07 4.75643e+07 6.40847e+07 5.45504e+07
 1.5e+06 1.09212e+08 9.96378e+07 1.36255e+08 1.15035e+08
 2e+06 1.82958e+08 1.66678e+08 2.31334e+08 1.93657e+08
 2.5e+06 2.71168e+08 2.4642e+08 3.47373e+08 2.88321e+08
 3e+06 3.72392e+08 3.36776e+08 4.82595e+08 3.97254e+08
 3.5e+06 4.85629e+08 4.36105e+08 6.35227e+08 5.18987e+08
 4e+06 6.09936e+08 5.43253e+08 8.0358e+08 6.52257e+08
 4.5e+06 7.44228e+08 6.5712e+08 9.86259e+08 7.95869e+08
 5e+06 8.87352e+08 7.7686e+08 1.18199e+09 9.48735e+08
 5e+06 8.65692e+08 7.78596e+08 1.1661e+09 9.36795e+08
 1e+07 2.53402e+09 2.16461e+09 3.6208e+09 2.77314e+09
 1.5e+07 4.35658e+09 3.81275e+09 6.57765e+09 4.91566e+09
 2e+07 6.23483e+09 5.65151e+09 9.8918e+09 7.25938e+09
 2.5e+07 8.06159e+09 7.66242e+09 1.3481e+10 9.735e+09
 3e+07 9.67192e+09 9.58516e+09 1.72553e+10 1.21708e+10
 3.5e+07 1.12908e+10 1.15273e+10 2.11924e+10 1.46702e+10
 4e+07 1.30636e+10 1.33602e+10 2.54015e+10 1.72751e+10
 4.5e+07 1.50454e+10 1.51533e+10 2.99457e+10 2.00481e+10
 5e+07 1.72947e+10 1.68584e+10 3.48705e+10 2.30079e+10
 5e+07 2.0287e+10 1.81188e+10 3.37327e+10 2.40462e+10
 1e+08 4.14954e+10 3.70516e+10 7.35821e+10 5.07097e+10
 1.5e+08 6.35324e+10 5.27512e+10 7.29376e+10 6.30737e+10
 2e+08 8.25422e+10 4.11459e+10 7.56356e+10 6.64412e+10
 2.5e+08 8.65744e+10 3.70667e+10 8.3544e+10 6.90617e+10
 3e+08 9.69502e+10 3.72534e+10 1.1824e+11 8.41479e+10
 3.5e+08 8.27244e+10 4.67058e+10 1.41737e+11 9.03892e+10
 4e+08 5.06964e+10 4.24775e+10 1.42173e+11 7.84491e+10
 4.5e+08 2.96886e+10 3.81373e+10 1.67127e+11 7.83175e+10
 5e+08 2.58479e+10 3.20898e+10 1.90584e+11 8.28406e+10
 5e+08 1.66282e+09 3.4875e+09 1.71755e+11 5.89685e+10
