Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	MSD__Arplus	
 50000 3.5088e+07 1.65792e+07
 100000 1.39921e+08 6.40732e+07
 150000 3.13854e+08 1.39373e+08
 200000 5.56246e+08 2.39714e+08
 250000 8.66464e+08 3.62636e+08
 300000 1.24388e+09 5.05942e+08
 350000 1.68787e+09 6.67667e+08
 400000 2.19782e+09 8.46051e+08
 450000 2.77311e+09 1.03952e+09
 500000 3.41314e+09 1.24664e+09
 550000 4.11731e+09 1.46616e+09
 600000 4.88503e+09 1.69692e+09
 650000 5.71569e+09 1.93789e+09
 700000 6.60871e+09 2.18814e+09
 750000 7.56353e+09 2.44684e+09
 800000 8.57955e+09 2.71324e+09
 850000 9.65621e+09 2.98664e+09
 900000 1.0793e+10 3.26643e+09
 950000 1.19892e+10 3.55205e+09
 1e+06 1.32444e+10 3.84299e+09
 1e+06 1.32431e+10 3.84182e+09
 2e+06 4.99203e+10 1.02956e+10
 3e+06 1.06022e+11 1.72575e+10
 4e+06 1.78215e+11 2.43962e+10
 5e+06 2.63739e+11 3.16232e+10
 6e+06 3.60317e+11 3.89115e+10
 7e+06 4.66084e+11 4.62504e+10
 8e+06 5.79507e+11 5.36114e+10
 9e+06 6.99291e+11 6.10028e+10
 1e+07 8.24326e+11 6.84352e+10
 1.1e+07 9.53715e+11 7.59373e+10
 1.2e+07 1.08673e+12 8.34761e+10
 1.3e+07 1.22277e+12 9.09963e+10
 1.4e+07 1.36131e+12 9.85033e+10
 1.5e+07 1.50195e+12 1.06023e+11
 1.6e+07 1.64435e+12 1.13573e+11
 1.7e+07 1.78823e+12 1.21166e+11
 1.8e+07 1.93337e+12 1.28771e+11
 1.9e+07 2.07956e+12 1.36397e+11
 2e+07 2.22665e+12 1.4404e+11
 2e+07 2.23496e+12 1.45625e+11
 4e+07 5.25006e+12 2.91113e+11
 6e+07 8.31756e+12 4.3804e+11
 8e+07 1.13583e+13 5.84132e+11
 1e+08 1.43922e+13 7.28245e+11
 1.2e+08 1.73972e+13 8.71359e+11
 1.4e+08 2.03343e+13 1.01044e+12
 1.6e+08 2.32192e+13 1.15003e+12
 1.8e+08 2.60473e+13 1.29611e+12
 2e+08 2.87801e+13 1.44737e+12
 2.2e+08 3.15188e+13 1.59693e+12
 2.4e+08 3.43668e+13 1.75576e+12
 2.6e+08 3.72927e+13 1.91994e+12
 2.8e+08 4.02758e+13 2.07464e+12
 3e+08 4.33117e+13 2.21926e+12
 3.2e+08 4.62236e+13 2.34424e+12
 3.4e+08 4.91421e+13 2.4788e+12
 3.6e+08 5.20742e+13 2.612e+12
 3.8e+08 5.50905e+13 2.74199e+12
 4e+08 5.80915e+13 2.87754e+12
 4e+08 6.16597e+13 2.73823e+12
 8e+08 1.24955e+14 5.8087e+12
