Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 45885 43469.2 48131.7 45828.6
 100000 182499 172847 191480 182275
 150000 408434 386757 428636 407943
 200000 722307 683859 758226 721464
 250000 1.12274e+06 1.06284e+06 1.17889e+06 1.12149e+06
 300000 1.60839e+06 1.5224e+06 1.6893e+06 1.6067e+06
 350000 2.17792e+06 2.06123e+06 2.28812e+06 2.17576e+06
 400000 2.83003e+06 2.67807e+06 2.97403e+06 2.82738e+06
 450000 3.56342e+06 3.37165e+06 3.74576e+06 3.56028e+06
 500000 4.37685e+06 4.14073e+06 4.60204e+06 4.37321e+06
 500000 4.37786e+06 4.13751e+06 4.60019e+06 4.37185e+06
 1e+06 1.66544e+07 1.57147e+07 1.7547e+07 1.66387e+07
 1.5e+06 3.56878e+07 3.3618e+07 3.77015e+07 3.56691e+07
 2e+06 6.04766e+07 5.69073e+07 6.40905e+07 6.04915e+07
 2.5e+06 9.0176e+07 8.47577e+07 9.59003e+07 9.0278e+07
 3e+06 1.24068e+08 1.16494e+08 1.32426e+08 1.24329e+08
 3.5e+06 1.61549e+08 1.51571e+08 1.73081e+08 1.62067e+08
 4e+06 2.02091e+08 1.89471e+08 2.17372e+08 2.02978e+08
 4.5e+06 2.45239e+08 2.29706e+08 2.6487e+08 2.46605e+08
 5e+06 2.90634e+08 2.71859e+08 3.15234e+08 2.92576e+08
 5e+06 2.90295e+08 2.815e+08 3.16549e+08 2.96115e+08
 1e+07 8.16556e+08 7.60479e+08 9.23878e+08 8.33638e+08
 1.5e+07 1.39006e+09 1.26998e+09 1.5969e+09 1.41898e+09
 2e+07 1.949e+09 1.7769e+09 2.2691e+09 1.99833e+09
 2.5e+07 2.49615e+09 2.25915e+09 2.94075e+09 2.56535e+09
 3e+07 2.98428e+09 2.69587e+09 3.62314e+09 3.1011e+09
 3.5e+07 3.42821e+09 3.10415e+09 4.34959e+09 3.62732e+09
 4e+07 3.84421e+09 3.51243e+09 5.13629e+09 4.16431e+09
 4.5e+07 4.24864e+09 3.91119e+09 5.96377e+09 4.70787e+09
 5e+07 4.62834e+09 4.27305e+09 6.8384e+09 5.2466e+09
 5e+07 4.53579e+09 4.60642e+09 7.08297e+09 5.40839e+09
 1e+08 8.45149e+09 8.8404e+09 1.54388e+10 1.09102e+10
 1.5e+08 1.26132e+10 1.199e+10 2.39229e+10 1.61754e+10
 2e+08 1.91464e+10 1.82458e+10 3.37456e+10 2.37126e+10
 2.5e+08 2.38574e+10 2.46584e+10 4.30961e+10 3.05373e+10
 3e+08 2.63633e+10 3.28328e+10 5.013e+10 3.6442e+10
 3.5e+08 2.78627e+10 3.87042e+10 5.86245e+10 4.17305e+10
 4e+08 2.67009e+10 4.24391e+10 6.62529e+10 4.51309e+10
 4.5e+08 2.29877e+10 4.7676e+10 7.31049e+10 4.79229e+10
 5e+08 2.03222e+10 5.34633e+10 7.9458e+10 5.10812e+10
 5e+08 3.79465e+10 4.61084e+10 4.66211e+10 4.35587e+10
 1e+09 7.36613e+10 1.31418e+11 3.81952e+10 8.10914e+10
 1.5e+09 1.56374e+10 1.73981e+11 1.27157e+11 1.05592e+11
 2e+09 6.63517e+09 1.10407e+11 1.18913e+11 7.86517e+10
