Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	
 50000 1.52578e-15
 100000 4.11123e-15
 150000 7.25611e-15
 200000 1.08761e-14
 250000 1.49235e-14
 300000 1.93772e-14
 350000 2.42341e-14
 400000 2.94919e-14
 450000 3.51476e-14
 500000 4.11874e-14
 550000 4.76168e-14
 600000 5.44334e-14
 650000 6.16603e-14
 700000 6.9294e-14
 750000 7.73395e-14
 800000 8.57778e-14
 850000 9.46107e-14
 900000 1.03832e-13
 950000 1.13445e-13
 1e+06 1.23452e-13
 1e+06 1.24122e-13
 2e+06 4.08173e-13
 3e+06 8.52687e-13
 4e+06 1.45451e-12
 5e+06 2.21706e-12
 6e+06 3.14051e-12
 7e+06 4.22206e-12
 8e+06 5.46264e-12
 9e+06 6.86205e-12
 1e+07 8.42215e-12
 1.1e+07 1.01423e-11
 1.2e+07 1.20197e-11
 1.3e+07 1.40544e-11
 1.4e+07 1.62483e-11
 1.5e+07 1.86025e-11
 1.6e+07 2.11158e-11
 1.7e+07 2.37879e-11
 1.8e+07 2.66178e-11
 1.9e+07 2.9609e-11
 2e+07 3.27569e-11
 2e+07 3.28971e-11
 4e+07 1.29387e-10
 6e+07 2.88884e-10
 8e+07 5.10352e-10
 1e+08 7.94523e-10
 1.2e+08 1.14094e-09
 1.4e+08 1.54755e-09
 1.6e+08 2.01426e-09
 1.8e+08 2.54025e-09
 2e+08 3.1249e-09
 2.2e+08 3.77059e-09
 2.4e+08 4.47626e-09
 2.6e+08 5.24239e-09
 2.8e+08 6.06694e-09
 3e+08 6.95369e-09
 3.2e+08 7.90018e-09
 3.4e+08 8.90611e-09
 3.6e+08 9.97295e-09
 3.8e+08 1.10967e-08
 4e+08 1.228e-08
 4e+08 1.26481e-08
 8e+08 4.90131e-08
 1.2e+09 1.09171e-07
 1.6e+09 1.94899e-07
 2e+09 3.0582e-07
