Ar
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 50000 1.47132e+13 1.40253e+13 1.37877e+13 1.30996e+13 1.58193e+13 1.33198e+13 1.40796e+13 1.41179e+13 1.765e+09
 100000 5.65133e+13 5.377e+13 5.28002e+13 4.98686e+13 6.07772e+13 5.07931e+13 5.3813e+13 5.40323e+13 3.76271e+11
 150000 1.22654e+14 1.16531e+14 1.14267e+14 1.07391e+14 1.32051e+14 1.09502e+14 1.16314e+14 1.16916e+14 3.78632e+11
 200000 2.1084e+14 2.00101e+14 1.95851e+14 1.83341e+14 2.27365e+14 1.87049e+14 1.99252e+14 2.00457e+14 3.81079e+11
 250000 3.19187e+14 3.02689e+14 2.95609e+14 2.75838e+14 3.44913e+14 2.81428e+14 3.00726e+14 3.02767e+14 3.82594e+11
 300000 4.46255e+14 4.22876e+14 4.11916e+14 3.83347e+14 4.83225e+14 3.90967e+14 4.1918e+14 4.22314e+14 3.83607e+11
 350000 5.90971e+14 5.59456e+14 5.43423e+14 5.0457e+14 6.41169e+14 5.14283e+14 5.5334e+14 5.57851e+14 3.8508e+11
 400000 7.52323e+14 7.11449e+14 6.88992e+14 6.38396e+14 8.17857e+14 6.50238e+14 7.02164e+14 7.08334e+14 3.87056e+11
 450000 9.2933e+14 8.77926e+14 8.47674e+14 7.83859e+14 1.01257e+15 7.97919e+14 8.64782e+14 8.7286e+14 3.88759e+11
 500000 1.12115e+15 1.05811e+15 1.01873e+15 9.4017e+14 1.22461e+15 9.56499e+14 1.04043e+15 1.05065e+15 3.90081e+11
 550000 1.32699e+15 1.25126e+15 1.20153e+15 1.10676e+15 1.45329e+15 1.12533e+15 1.22846e+15 1.24105e+15 3.9276e+11
 600000 1.54611e+15 1.45666e+15 1.39542e+15 1.28323e+15 1.69806e+15 1.30381e+15 1.42836e+15 1.44345e+15 3.94917e+11
 650000 1.77783e+15 1.67356e+15 1.59982e+15 1.46927e+15 1.9585e+15 1.49141e+15 1.63972e+15 1.65733e+15 3.97016e+11
 700000 2.0214e+15 1.90124e+15 1.81416e+15 1.66458e+15 2.23413e+15 1.68763e+15 1.86211e+15 1.88217e+15 3.98312e+11
 750000 2.27613e+15 2.13908e+15 2.03786e+15 1.86885e+15 2.52451e+15 1.89203e+15 2.09513e+15 2.11749e+15 4.00041e+11
 800000 2.54137e+15 2.38668e+15 2.27049e+15 2.08166e+15 2.82917e+15 2.10419e+15 2.33834e+15 2.36281e+15 4.01202e+11
 850000 2.81659e+15 2.64369e+15 2.51168e+15 2.30266e+15 3.14759e+15 2.32375e+15 2.59133e+15 2.61773e+15 4.02921e+11
 900000 3.10132e+15 2.90982e+15 2.76111e+15 2.53166e+15 3.47922e+15 2.55031e+15 2.85373e+15 2.88187e+15 4.04671e+11
 950000 3.39517e+15 3.18477e+15 3.01852e+15 2.76846e+15 3.82365e+15 2.78362e+15 3.12524e+15 3.15494e+15 4.06722e+11
 1e+06 3.69785e+15 3.46827e+15 3.28372e+15 3.01283e+15 4.18045e+15 3.02355e+15 3.40561e+15 3.43668e+15 4.08876e+11
 1e+06 3.70572e+15 3.47413e+15 3.29149e+15 3.01976e+15 4.15369e+15 2.99872e+15 3.39073e+15 3.43061e+15 3.63996e+10
 2e+06 1.11297e+16 1.04721e+16 9.88938e+15 9.27848e+15 1.35866e+16 9.06209e+15 1.06424e+16 1.05843e+16 7.6599e+10
 3e+06 2.03984e+16 1.93572e+16 1.8578e+16 1.75818e+16 2.67874e+16 1.68878e+16 2.0419e+16 2.00292e+16 1.17714e+11
 4e+06 3.13518e+16 2.95716e+16 2.87121e+16 2.7482e+16 4.28673e+16 2.58843e+16 3.20779e+16 3.11981e+16 1.65106e+11
 5e+06 4.35308e+16 4.06637e+16 3.97348e+16 3.88272e+16 6.08491e+16 3.59514e+16 4.52093e+16 4.36495e+16 2.14146e+11
 6e+06 5.63488e+16 5.24069e+16 5.12673e+16 5.14514e+16 7.99579e+16 4.66872e+16 5.93655e+16 5.69557e+16 2.62022e+11
 7e+06 6.95187e+16 6.46587e+16 6.32024e+16 6.51295e+16 9.9384e+16 5.7645e+16 7.40528e+16 7.0749e+16 3.07973e+11
 8e+06 8.31268e+16 7.73242e+16 7.56044e+16 7.99209e+16 1.19029e+17 6.82583e+16 8.90693e+16 8.49156e+16 3.54706e+11
 9e+06 9.69684e+16 9.00113e+16 8.80458e+16 9.55304e+16 1.38834e+17 7.87213e+16 1.04362e+17 9.92873e+16 3.99344e+11
 1e+07 1.11032e+17 1.02622e+17 1.00453e+17 1.12143e+17 1.58698e+17 8.90528e+16 1.19965e+17 1.1386e+17 4.44537e+11
 1.1e+07 1.24947e+17 1.14802e+17 1.1299e+17 1.29446e+17 1.78525e+17 9.89429e+16 1.35638e+17 1.28415e+17 4.89271e+11
 1.2e+07 1.38879e+17 1.26726e+17 1.25635e+17 1.47513e+17 1.98439e+17 1.08837e+17 1.51596e+17 1.43123e+17 5.31534e+11
 1.3e+07 1.52599e+17 1.37933e+17 1.38261e+17 1.66612e+17 2.18584e+17 1.18549e+17 1.67915e+17 1.57921e+17 5.7426e+11
 1.4e+07 1.65666e+17 1.48312e+17 1.51082e+17 1.86605e+17 2.38996e+17 1.2805e+17 1.8455e+17 1.72738e+17 6.16959e+11
 1.5e+07 1.78655e+17 1.5842e+17 1.64003e+17 2.06925e+17 2.59568e+17 1.37269e+17 2.01254e+17 1.87563e+17 6.67577e+11
 1.6e+07 1.91689e+17 1.6863e+17 1.76753e+17 2.27372e+17 2.80187e+17 1.46427e+17 2.17995e+17 2.02407e+17 7.21412e+11
 1.7e+07 2.04032e+17 1.78671e+17 1.89065e+17 2.47998e+17 3.00559e+17 1.56026e+17 2.34861e+17 2.17152e+17 7.77352e+11
 1.8e+07 2.15916e+17 1.89053e+17 2.00993e+17 2.68886e+17 3.20649e+17 1.66375e+17 2.5197e+17 2.31977e+17 8.37285e+11
 1.9e+07 2.27498e+17 1.99657e+17 2.1224e+17 2.89894e+17 3.40877e+17 1.77753e+17 2.69508e+17 2.46957e+17 8.97568e+11
 2e+07 2.38487e+17 2.10908e+17 2.23062e+17 3.10989e+17 3.61212e+17 1.89994e+17 2.87399e+17 2.621e+17 9.55264e+11
 2e+07 2.36565e+17 2.08257e+17 2.57026e+17 3.21704e+17 4.27234e+17 2.07648e+17 3.18862e+17 2.84897e+17 1.01281e+12
 4e+07 5.22339e+17 5.09079e+17 4.71865e+17 6.98088e+17 8.5251e+17 4.67907e+17 6.72835e+17 6.04139e+17 2.28308e+12
 6e+07 7.03121e+17 8.10193e+17 6.38631e+17 9.151e+17 1.04883e+18 8.15193e+17 9.26373e+17 8.4275e+17 3.77511e+12
 8e+07 7.57579e+17 9.94699e+17 6.64503e+17 9.00505e+17 9.72886e+17 1.07259e+18 9.81994e+17 9.11434e+17 5.39435e+12
 1e+08 7.18136e+17 1.09255e+18 7.67967e+17 9.04473e+17 1.13908e+18 1.42078e+18 1.15478e+18 1.03669e+18 7.12537e+12
 1.2e+08 8.35814e+17 1.20088e+18 8.99279e+17 9.5266e+17 1.36329e+18 1.72312e+18 1.34636e+18 1.19928e+18 8.83035e+12
 1.4e+08 8.32549e+17 1.17808e+18 1.16363e+18 7.92297e+17 1.63247e+18 2.03434e+18 1.48637e+18 1.31505e+18 1.05314e+13
 1.6e+08 8.88032e+17 1.04534e+18 1.31649e+18 7.96734e+17 1.74743e+18 2.4297e+18 1.65796e+18 1.42809e+18 1.22628e+13
 1.8e+08 1.00421e+18 1.02988e+18 1.63708e+18 9.40113e+17 1.6713e+18 2.96755e+18 1.85965e+18 1.60528e+18 1.405e+13
 2e+08 8.40472e+17 1.17158e+18 1.95126e+18 1.10912e+18 1.58326e+18 3.57728e+18 2.08989e+18 1.78237e+18 1.46448e+13
 2.2e+08 8.88214e+17 1.35899e+18 2.24902e+18 9.8717e+17 1.30234e+18 4.21886e+18 2.16946e+18 1.90117e+18 1.44449e+13
 2.4e+08 9.50723e+17 1.44686e+18 2.44554e+18 6.35022e+17 1.61123e+18 4.85431e+18 2.36685e+18 2.06586e+18 1.25135e+13
 2.6e+08 1.01418e+18 1.34828e+18 2.79822e+18 3.95451e+17 1.98945e+18 5.50292e+18 2.62928e+18 2.26566e+18 1.12416e+13
 2.8e+08 1.44893e+18 1.15036e+18 3.239e+18 3.32998e+17 2.24259e+18 6.08033e+18 2.8853e+18 2.50962e+18 9.7854e+12
 3e+08 1.67294e+18 8.56589e+17 3.20541e+18 1.53752e+17 1.60238e+18 6.71336e+18 2.82316e+18 2.45856e+18 9.40724e+12
