# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
100000 11921.7 -0.425298 2000.81 1.00014
200000 11921.3 -0.739655 2000.79 0.999859
300000 12021 -0.336587 2017.47 1.0084
400000 11814.6 -0.700675 1982.89 0.990869
500000 11999.1 -0.0585558 2013.74 1.00671
600000 11882.1 -0.496792 1994.18 0.996544
700000 11803.1 -0.400053 1980.9 0.990048
800000 11919.7 -0.558714 2000.51 0.999834
900000 11976.3 -0.279187 2009.96 1.00444
1000000 12066.7 0.655415 2024.97 1.01283
1100000 11942.2 -0.445453 2004.26 1.0017
1200000 11824.8 -0.220426 1984.51 0.991726
1300000 11911.5 -0.534555 1999.12 0.999142
1400000 11971.6 -0.153118 2009.15 1.00425
1500000 11839.8 -0.325096 1987.05 0.993001
1600000 11912.3 -0.353397 1999.23 0.999059
1700000 12019.5 -0.230016 2017.19 1.00811
1800000 12012 -0.490711 2015.98 1.00745
1900000 11921.8 -0.0120549 2000.77 1.00009
2000000 12000.3 -0.524138 2014.02 1.00653
2100000 11812.4 -0.163758 1982.42 0.990845
2200000 11731.7 -0.0163586 1968.85 0.984095
2300000 11921.1 -0.193986 2000.68 1.00002
2400000 11775.1 -0.536325 1976.22 0.987555
2500000 11916.9 0.254174 1999.9 0.999845
2600000 11931.3 -0.101491 2002.36 1.00093
2700000 12100 0.444077 2030.59 1.01542
2800000 11840 -0.412128 1987.1 0.993245
2900000 11947.5 -0.393783 2005.14 1.00199
3000000 11869.6 -0.366437 1992.06 0.995516
3100000 11875.7 -0.484705 1993.11 0.996006
3200000 11899.9 -0.555783 1997.18 0.998019
3300000 11849.3 -0.105236 1988.61 0.993979
3400000 11767.7 -0.237771 1974.94 0.987107
3500000 11935.3 -0.442147 2003.1 1.00099
3600000 11833.7 -0.408093 1986.04 0.992536
3700000 11903.9 0.182291 1997.72 0.998775
3800000 11823.3 -0.514583 1984.31 0.991588
3900000 11840 -0.367615 1987.1 0.99301
4000000 11841.9 -0.328431 1987.4 0.99317
4100000 11780 -0.460307 1977.04 0.987967
4200000 12046.3 -0.36023 2021.72 1.0103
4300000 12050.6 -0.0192536 2022.38 1.01089
4400000 11999.8 0.246847 2013.81 1.00682
4500000 12016.5 -0.321405 2016.71 1.00805
4600000 11782.8 -0.104789 1977.45 0.988327
4700000 11742.9 -0.281351 1970.78 0.985092
4800000 11899.7 -0.568574 1997.15 0.998
4900000 12065.6 -0.229255 2024.94 1.01216
5000000 11853.6 -0.299311 1989.36 0.994131
5100000 11906.3 -0.0461903 1998.16 0.998829
5200000 12075.3 -0.408408 2026.59 1.01271
5300000 11795.4 -0.402971 1979.61 0.98926
5400000 12002.6 -0.358416 2014.37 1.00663
5500000 11888.2 -0.378939 1995.18 0.997057
5600000 11765.7 -0.286389 1974.6 0.986859
5700000 11964.6 -0.366364 2008 1.00363
5800000 11931.1 -0.392942 2002.39 1.00065
5900000 11819.1 0.41976 1983.45 0.991834
6000000 11933.6 -0.420427 2002.8 1.00088
6100000 11721.3 -0.487633 1967.19 0.98303
6200000 11824.5 -0.317977 1984.48 0.991758
6300000 11871.1 0.814686 1992.12 0.996424
6400000 11776.7 -0.564502 1976.51 0.987749
6500000 11884.9 3.1539 1994.04 0.998764
6600000 11919.1 -0.357848 2000.37 0.99979
6700000 11895 -0.38235 1996.32 0.997774
6800000 11792.4 -0.346522 1979.11 0.989032
6900000 11965.6 -0.0257291 2008.11 1.00385
7000000 11962.4 0.064546 2007.56 1.00354
7100000 11832.2 -0.196557 1985.75 0.992554
7200000 11811.3 -0.299869 1982.27 0.99082
7300000 11946.4 -0.228857 2004.92 1.00212
7400000 11901 -0.269257 1997.31 0.998118
7500000 11825.5 -0.266212 1984.64 0.99178
7600000 11970.2 0.147841 2008.87 1.00441
7700000 11896 -0.379353 1996.49 0.997891
7800000 11841.5 -0.483272 1987.37 0.993253
7900000 11909.9 -0.495924 1998.85 0.998913
8000000 11948.1 -0.545209 2005.26 1.00219
8100000 12083.2 0.692204 2027.73 1.01398
8200000 11948.9 -0.624871 2005.41 1.00215
8300000 11866 0.747101 1991.27 0.995866
8400000 11896.3 -0.578348 1996.57 0.997748
8500000 12055.9 -0.217745 2023.29 1.01143
8600000 11720.2 -0.460429 1967.01 0.982951
8700000 11888.1 -0.340772 1995.17 0.997035
8800000 11993.5 -0.427026 2012.87 1.00589
8900000 11695.9 -0.2795 1962.89 0.980925
9000000 11947 -0.375279 2005.05 1.00199
9100000 11941.1 -0.556718 2004.09 1.00162
9200000 12050.2 -0.429137 2022.38 1.01064
9300000 11883.2 0.1038 1994.27 0.997111
9400000 11823 -0.43214 1984.25 0.991603
9500000 11988 -0.472823 2011.95 1.00546
9600000 11826.5 -0.208913 1984.8 0.992041
9700000 11834.2 -0.456867 1986.13 0.99257
9800000 12009.2 -0.356691 2015.49 1.0072
9900000 11716.2 -0.459 1966.33 0.982754
10000000 11919 -0.0838395 2000.31 0.999822
