Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 956.99 932.947 902.912 930.95
 100000 3747.44 3650.23 3530.27 3642.65
 150000 8266.13 8045.49 7776.42 8029.35
 200000 14413.3 14017.5 13541.7 13990.8
 250000 22095.7 21470.1 20732 21432.6
 300000 31226 30313.5 29259 30266.2
 350000 41719.6 40464.7 39040.6 40408.3
 400000 53495.3 51846 50001.8 51781
 450000 66476.1 64382.4 62072.6 64310.4
 500000 80588.2 78000.8 75187.8 77925.6
 500000 80832.2 78070.6 75356.3 78086.4
 1e+06 271762 259960 251911 261211
 1.5e+06 519982 494017 480889 498296
 2e+06 798076 755688 734009 762591
 2.5e+06 1.09391e+06 1.03263e+06 996603 1.04105e+06
 3e+06 1.40571e+06 1.31823e+06 1.26421e+06 1.32938e+06
 3.5e+06 1.73269e+06 1.60883e+06 1.53328e+06 1.62493e+06
 4e+06 2.07223e+06 1.90285e+06 1.80114e+06 1.9254e+06
 4.5e+06 2.42452e+06 2.20039e+06 2.06617e+06 2.23036e+06
 5e+06 2.78934e+06 2.50051e+06 2.32865e+06 2.5395e+06
 5e+06 2.79108e+06 2.4345e+06 2.39608e+06 2.54055e+06
 1e+07 6.98685e+06 5.3968e+06 4.94288e+06 5.77551e+06
 1.5e+07 1.14126e+07 8.57694e+06 7.22972e+06 9.07307e+06
 2e+07 1.64032e+07 1.15822e+07 9.08921e+06 1.23582e+07
 2.5e+07 2.10106e+07 1.5212e+07 1.05781e+07 1.56002e+07
 3e+07 2.56434e+07 1.8915e+07 1.21115e+07 1.889e+07
 3.5e+07 3.02339e+07 2.27953e+07 1.34032e+07 2.21441e+07
 4e+07 3.49017e+07 2.65801e+07 1.46846e+07 2.53888e+07
 4.5e+07 4.01236e+07 3.03364e+07 1.66443e+07 2.90347e+07
 5e+07 4.55125e+07 3.4567e+07 1.8907e+07 3.29955e+07
 5e+07 5.22741e+07 3.3353e+07 2.15944e+07 3.57405e+07
 1e+08 1.10667e+08 7.93964e+07 4.79551e+07 7.93396e+07
 1.5e+08 2.06088e+08 1.0295e+08 6.63977e+07 1.25145e+08
 2e+08 3.36167e+08 1.14252e+08 9.33671e+07 1.81262e+08
 2.5e+08 5.09868e+08 1.16073e+08 1.40184e+08 2.55375e+08
 3e+08 7.05555e+08 1.22403e+08 2.02889e+08 3.43615e+08
 3.5e+08 9.66471e+08 1.32962e+08 2.57544e+08 4.52325e+08
 4e+08 1.23948e+09 1.47273e+08 3.2144e+08 5.69397e+08
 4.5e+08 1.57768e+09 1.50315e+08 4.25904e+08 7.17965e+08
 5e+08 1.97851e+09 1.40105e+08 5.40065e+08 8.86227e+08
 5e+08 1.4886e+09 1.29252e+08 4.70607e+08 6.96152e+08
 1e+09 5.95352e+09 1.66278e+08 1.43699e+09 2.51893e+09
