# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 5840.53 -1.49139 980.429 0.976748 0.00048541
200000 5957.05 -1.2334 999.94 0.996726 0.000485107
300000 5913.43 -1.02831 992.586 1.00647 0.000493959
400000 5983.37 -0.463627 1004.23 1.01254 0.000490835
500000 5908.69 0.118937 991.597 0.988797 0.00048509
600000 5991.26 -0.46155 1005.55 1.00061 0.000484539
700000 5988.22 -1.02772 1005.14 1.00597 0.00048732
800000 6009.46 -0.746952 1008.65 1.00418 0.000484624
900000 6045.55 -0.76672 1014.71 1.01735 0.000488299
1000000 5933.51 -0.510545 995.869 0.994251 0.000486127
1100000 5998.96 -0.736834 1006.89 1.00824 0.000487769
1200000 5945.2 -1.01056 997.914 0.997857 0.000487091
1300000 5963.6 -1.0899 1001.02 0.99856 0.000485974
1400000 5945.88 -0.023645 997.862 0.998513 0.000486834
1500000 5995.58 -1.03124 1006.37 1.01676 0.000492118
1600000 5913.24 -0.698699 992.498 0.993596 0.000487758
1700000 5983.08 -0.813583 1004.24 0.984873 0.000477745
1800000 5964.23 -1.2555 1001.15 1.00757 0.000490296
1900000 5919.64 -0.531444 993.545 0.986866 0.000483754
2000000 5892.7 -0.640139 989.041 0.983714 0.000484122
2100000 5933.64 -0.511462 995.891 0.996051 0.000486742
2200000 5914.04 -0.948768 992.675 0.998095 0.000489531
2300000 5998.67 -0.47174 1006.8 1.00549 0.000486158
2400000 5930.99 0.141592 995.336 0.999852 0.000488453
2500000 6041.2 -0.679237 1013.97 0.993728 0.000477491
2600000 5993.43 -0.295219 1005.89 1.01524 0.00049128
2700000 5978.06 -0.995828 1003.43 1.00562 0.000488189
2800000 5934.94 -0.809329 996.158 0.999713 0.000488801
2900000 6034.56 0.145261 1012.72 1.02937 0.000494559
3000000 5921.57 -0.985309 993.944 0.989407 0.000484907
3100000 6016.96 0.0980861 1009.77 1.02805 0.000495422
3200000 6004.32 -0.701571 1007.78 1.00284 0.000484809
3300000 5940.42 -0.94558 997.1 0.997756 0.000487496
3400000 6010.37 -0.687923 1008.8 1.02175 0.000493291
3500000 5962.23 -0.949109 1000.76 1.00861 0.000490837
3600000 5980.16 -0.818613 1003.75 0.997171 0.000484039
3700000 5927.19 -1.32357 994.943 1.00384 0.000491404
3800000 5896.98 -0.838709 989.793 0.976609 0.000480269
3900000 5958.78 -0.777415 1000.15 1.00088 0.000487516
4000000 5966.91 -1.02899 1001.56 1.00761 0.000490055
4100000 5959.35 -0.624469 1000.22 0.999785 0.000486824
4200000 5873.05 -0.806358 985.771 0.979246 0.000483929
4300000 5925.73 -0.859511 994.622 1.00394 0.000491557
4400000 5931.67 -0.51308 995.559 1.00241 0.000489904
4500000 5938.71 -0.504849 996.74 0.999796 0.000488414
4600000 5865.76 -0.920283 984.566 0.97243 0.00048112
4700000 5979.64 0.00259924 1003.52 1.00443 0.000486856
4800000 6012.95 -0.679998 1009.23 0.99763 0.000481417
4900000 5967.61 -0.892817 1001.65 1.00217 0.00048734
5000000 5991.55 -0.58276 1005.62 1.0034 0.000485974
5100000 6024.84 -1.01492 1011.28 1.01797 0.000490314
5200000 6034.93 -0.753187 1012.93 1.00264 0.000482176
5300000 6046.1 -0.799565 1014.81 1.00463 0.000482161
5400000 5921.81 -0.612171 993.922 0.993172 0.000486476
5500000 5956.47 -0.710641 999.755 1.005 0.000489441
5600000 5926.97 -0.820465 994.822 1.00047 0.000489842
5700000 5954.56 -0.29363 999.365 1.01731 0.000495453
5800000 6022.05 -0.694701 1010.76 1.0125 0.000487703
5900000 5970.67 -0.99639 1002.19 0.980835 0.000476812
6000000 5956.78 -0.979139 999.853 0.997792 0.000486224
