Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 5.08216e+07
 100000 1.98719e+08
 150000 4.37191e+08
 200000 7.60172e+08
 250000 1.16201e+09
 300000 1.63742e+09
 350000 2.18149e+09
 400000 2.78962e+09
 450000 3.45754e+09
 500000 4.18125e+09
 550000 4.95702e+09
 600000 5.78139e+09
 650000 6.65111e+09
 700000 7.56316e+09
 750000 8.51472e+09
 800000 9.50316e+09
 850000 1.0526e+10
 900000 1.1581e+10
 950000 1.2666e+10
 1e+06 1.3779e+10
 1e+06 1.37776e+10
 2e+06 3.97768e+10
 3e+06 6.88737e+10
 4e+06 9.87661e+10
 5e+06 1.2887e+11
 6e+06 1.5902e+11
 7e+06 1.8917e+11
 8e+06 2.1932e+11
 9e+06 2.49472e+11
 1e+07 2.79612e+11
 1.1e+07 3.09742e+11
 1.2e+07 3.39859e+11
 1.3e+07 3.69952e+11
 1.4e+07 4.00026e+11
 1.5e+07 4.30077e+11
 1.6e+07 4.60119e+11
 1.7e+07 4.9015e+11
 1.8e+07 5.20163e+11
 1.9e+07 5.50156e+11
 2e+07 5.80139e+11
 2e+07 5.8056e+11
 4e+07 1.18301e+12
 6e+07 1.78856e+12
 8e+07 2.3946e+12
 1e+08 3.00534e+12
 1.2e+08 3.61653e+12
 1.4e+08 4.229e+12
 1.6e+08 4.84569e+12
 1.8e+08 5.46539e+12
 2e+08 6.08522e+12
 2.2e+08 6.70454e+12
 2.4e+08 7.32571e+12
 2.6e+08 7.94711e+12
 2.8e+08 8.57346e+12
 3e+08 9.19797e+12
 3.2e+08 9.82356e+12
 3.4e+08 1.04478e+13
 3.6e+08 1.10621e+13
 3.8e+08 1.1674e+13
 4e+08 1.22885e+13
 4e+08 1.21785e+13
 8e+08 2.43723e+13
