Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 1.06136e+07 -1.06136e+07 1.06136e+07
 100000 4.23119e+07 -4.23119e+07 4.23119e+07
 150000 9.48841e+07 -9.48841e+07 9.48841e+07
 200000 1.68123e+08 -1.68123e+08 1.68123e+08
 250000 2.61824e+08 -2.61824e+08 2.61824e+08
 300000 3.75784e+08 -3.75784e+08 3.75784e+08
 350000 5.09803e+08 -5.09803e+08 5.09803e+08
 400000 6.6368e+08 -6.6368e+08 6.6368e+08
 450000 8.37213e+08 -8.37213e+08 8.37213e+08
 500000 1.0302e+09 -1.0302e+09 1.0302e+09
 550000 1.24245e+09 -1.24245e+09 1.24245e+09
 600000 1.47376e+09 -1.47376e+09 1.47376e+09
 650000 1.72393e+09 -1.72393e+09 1.72393e+09
 700000 1.99278e+09 -1.99278e+09 1.99278e+09
 750000 2.2801e+09 -2.2801e+09 2.2801e+09
 800000 2.58572e+09 -2.58572e+09 2.58572e+09
 850000 2.90945e+09 -2.90945e+09 2.90945e+09
 900000 3.25111e+09 -3.25111e+09 3.25111e+09
 950000 3.61052e+09 -3.61052e+09 3.61052e+09
 1e+06 3.9875e+09 -3.9875e+09 3.9875e+09
 1e+06 3.98411e+09 -3.98411e+09 3.98411e+09
 2e+06 1.49543e+10 -1.49543e+10 1.49543e+10
 3e+06 3.16663e+10 -3.16663e+10 3.16663e+10
 4e+06 5.31368e+10 -5.31368e+10 5.31368e+10
 5e+06 7.85554e+10 -7.85554e+10 7.85554e+10
 6e+06 1.07247e+11 -1.07247e+11 1.07247e+11
 7e+06 1.38627e+11 -1.38627e+11 1.38627e+11
 8e+06 1.72256e+11 -1.72256e+11 1.72256e+11
 9e+06 2.0777e+11 -2.0777e+11 2.0777e+11
 1e+07 2.44863e+11 -2.44863e+11 2.44863e+11
 1.1e+07 2.83298e+11 -2.83298e+11 2.83298e+11
 1.2e+07 3.22862e+11 -3.22862e+11 3.22862e+11
 1.3e+07 3.63379e+11 -3.63379e+11 3.63379e+11
 1.4e+07 4.04587e+11 -4.04587e+11 4.04587e+11
 1.5e+07 4.46247e+11 -4.46247e+11 4.46247e+11
 1.6e+07 4.88126e+11 -4.88126e+11 4.88126e+11
 1.7e+07 5.30055e+11 -5.30055e+11 5.30055e+11
 1.8e+07 5.71795e+11 -5.71795e+11 5.71795e+11
 1.9e+07 6.13102e+11 -6.13102e+11 6.13102e+11
 2e+07 6.53879e+11 -6.53879e+11 6.53879e+11
 2e+07 5.93867e+11 -5.93867e+11 5.93867e+11
 4e+07 1.34645e+12 -1.34645e+12 1.34645e+12
 6e+07 1.95967e+12 -1.95967e+12 1.95967e+12
 8e+07 2.54937e+12 -2.54937e+12 2.54937e+12
 1e+08 3.2281e+12 -3.2281e+12 3.2281e+12
 1.2e+08 4.12189e+12 -4.12189e+12 4.12189e+12
 1.4e+08 4.85185e+12 -4.85185e+12 4.85185e+12
 1.6e+08 5.58555e+12 -5.58555e+12 5.58555e+12
 1.8e+08 6.36009e+12 -6.36009e+12 6.36009e+12
 2e+08 7.07881e+12 -7.07881e+12 7.07881e+12
 2.2e+08 7.62702e+12 -7.62702e+12 7.62702e+12
 2.4e+08 7.95942e+12 -7.95942e+12 7.95942e+12
 2.6e+08 8.34887e+12 -8.34887e+12 8.34887e+12
 2.8e+08 8.77118e+12 -8.77118e+12 8.77118e+12
 3e+08 9.15109e+12 -9.15109e+12 9.15109e+12
 3.2e+08 9.33727e+12 -9.33727e+12 9.33727e+12
 3.4e+08 9.74736e+12 -9.74736e+12 9.74736e+12
 3.6e+08 1.03942e+13 -1.03942e+13 1.03942e+13
 3.8e+08 1.09089e+13 -1.09089e+13 1.09089e+13
 4e+08 1.14577e+13 -1.14577e+13 1.14577e+13
 4e+08 1.3186e+13 -1.3186e+13 1.3186e+13
 8e+08 1.90021e+13 -1.90021e+13 1.90021e+13
