Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 153198 140732 132249 142060
 100000 606593 556548 522874 562005
 150000 1.35221e+06 1.23933e+06 1.16401e+06 1.25185e+06
 200000 2.38269e+06 2.18145e+06 2.04839e+06 2.20418e+06
 250000 3.69119e+06 3.37578e+06 3.1694e+06 3.41212e+06
 300000 5.27138e+06 4.8157e+06 4.52084e+06 4.86931e+06
 350000 7.11755e+06 6.49516e+06 6.09681e+06 6.56984e+06
 400000 9.22447e+06 8.40849e+06 7.89155e+06 8.50817e+06
 450000 1.15873e+07 1.05505e+07 9.89959e+06 1.06791e+07
 500000 1.42013e+07 1.29161e+07 1.21159e+07 1.30778e+07
 500000 1.41813e+07 1.2906e+07 1.21074e+07 1.30649e+07
 1e+06 5.32418e+07 4.78917e+07 4.47376e+07 4.86237e+07
 1.5e+06 1.13679e+08 1.01022e+08 9.41491e+07 1.0295e+08
 2e+06 1.93231e+08 1.69614e+08 1.58129e+08 1.73658e+08
 2.5e+06 2.9003e+08 2.51281e+08 2.35173e+08 2.58828e+08
 3e+06 4.02303e+08 3.43979e+08 3.23865e+08 3.56716e+08
 3.5e+06 5.2845e+08 4.46116e+08 4.22934e+08 4.65833e+08
 4e+06 6.67077e+08 5.56785e+08 5.31112e+08 5.84991e+08
 4.5e+06 8.16979e+08 6.75323e+08 6.4756e+08 7.13287e+08
 5e+06 9.77047e+08 8.01273e+08 7.7127e+08 8.49863e+08
 5e+06 9.63031e+08 8.23262e+08 7.65429e+08 8.50574e+08
 1e+07 2.96971e+09 2.3217e+09 2.25698e+09 2.51613e+09
 1.5e+07 5.40908e+09 4.06373e+09 3.93224e+09 4.46835e+09
 2e+07 8.14895e+09 5.86337e+09 5.68592e+09 6.56608e+09
 2.5e+07 1.12151e+10 7.51348e+09 7.54099e+09 8.75652e+09
 3e+07 1.44605e+10 9.24734e+09 9.52035e+09 1.10761e+10
 3.5e+07 1.77178e+10 1.10393e+10 1.16506e+10 1.34692e+10
 4e+07 2.0805e+10 1.28434e+10 1.38825e+10 1.58436e+10
 4.5e+07 2.3705e+10 1.47953e+10 1.60923e+10 1.81976e+10
 5e+07 2.66238e+10 1.66684e+10 1.81076e+10 2.04666e+10
 5e+07 2.78734e+10 1.53017e+10 2.06258e+10 2.1267e+10
 1e+08 5.80824e+10 3.09293e+10 3.52714e+10 4.14277e+10
 1.5e+08 7.79942e+10 5.87742e+10 4.23855e+10 5.9718e+10
 2e+08 1.23962e+11 8.14226e+10 4.16478e+10 8.2344e+10
 2.5e+08 1.4887e+11 1.03989e+11 4.65173e+10 9.97923e+10
 3e+08 1.59748e+11 1.15063e+11 5.51167e+10 1.09976e+11
 3.5e+08 1.95077e+11 1.34931e+11 6.2652e+10 1.30887e+11
 4e+08 2.01913e+11 1.72176e+11 6.23385e+10 1.45476e+11
 4.5e+08 2.04866e+11 1.99444e+11 5.76431e+10 1.53984e+11
 5e+08 2.53091e+11 2.60744e+11 5.0414e+10 1.88083e+11
 5e+08 2.46528e+11 2.44681e+11 6.64254e+10 1.85878e+11
 1e+09 1.03179e+11 9.3338e+11 9.83158e+10 3.78292e+11
