# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
100000 4446.99 -1.26155 746.521 0.995197 0.0006492
200000 4449.67 -1.03747 746.933 0.982087 0.000640433
300000 4450.37 -0.972082 747.04 0.9991 0.000651469
400000 4497.54 -0.949225 754.952 1.00265 0.000646584
500000 4472.85 -1.08921 750.832 0.991578 0.000643186
600000 4497.82 -0.986924 755.006 1.00235 0.000646098
700000 4426.63 -1.08854 743.076 0.995647 0.00065254
800000 4484.89 -1.10747 752.857 1.00411 0.000649573
900000 4417.82 -1.08507 741.596 0.985797 0.000647705
1000000 4488.01 -0.715278 753.313 1.01173 0.000653426
1100000 4492.49 -0.829169 754.085 1.01554 0.000655505
1200000 4491.88 -1.07316 754.023 1.00542 0.000649745
1300000 4437.01 -0.230267 744.674 0.983536 0.000641866
1400000 4404.16 -1.44094 739.363 0.982617 0.000647251
1500000 4462.73 -1.07855 749.132 1.0019 0.000651882
1600000 4442.2 -1.24441 745.714 0.999866 0.000653326
1700000 4547.96 -1.54119 763.514 1.02828 0.000656459
1800000 4428.71 -0.447665 743.317 0.980105 0.000641193
1900000 4466.54 -0.833457 749.73 0.99785 0.000647891
2000000 4473.23 -1.27648 750.928 1.01435 0.000658172
2100000 4533.65 -1.10604 761.039 1.00277 0.000641856
2200000 4493.24 -1.39207 754.305 1.01182 0.00065337
2300000 4480.7 -0.831144 752.107 0.993215 0.000642811
2400000 4468.51 -1.34173 750.147 1.00575 0.000653139
2500000 4446.34 -0.466225 746.278 0.993682 0.000647884
2600000 4451.1 -1.00214 747.168 0.989181 0.000645075
2700000 4468 -0.903049 749.988 0.994595 0.000645955
2800000 4456.1 -1.28255 748.054 1.01608 0.000661829
2900000 4450.37 -0.510573 746.962 1.01752 0.000662609
3000000 4434.76 -1.15659 744.451 0.985901 0.000645164
3100000 4451.67 -0.696598 747.212 0.995899 0.000648323
3200000 4490.57 -1.01898 753.795 1.00936 0.000652469
3300000 4507.88 -1.31261 756.749 1.01303 0.000652034
3400000 4472.01 -0.145727 750.533 0.997803 0.000646553
3500000 4458.93 -1.12903 748.503 0.987539 0.000642725
3600000 4524 -1.4353 759.474 1.00787 0.000646408
3700000 4439.06 -1.561 745.241 0.987885 0.000645802
3800000 4454.29 -1.09158 747.718 0.992175 0.000646739
3900000 4482.4 -1.4488 752.496 1.0041 0.000649993
4000000 4527.24 -1.03165 759.95 1.02058 0.000653621
4100000 4487.86 -1.67035 753.449 1.00938 0.000652849
4200000 4420.76 -1.0393 742.083 0.984871 0.000646825
4300000 4536.86 -1.03058 761.565 1.01123 0.000646804
4400000 4467.13 -0.967418 749.852 1.00105 0.000649916
4500000 4479.46 -1.40681 751.996 0.988986 0.000640651
4600000 4452.08 -1.29353 747.381 0.997475 0.000650432
4700000 4496.03 -1.73017 754.831 1.00907 0.000651617
4800000 4508.95 -1.21873 756.912 1.01615 0.000653184
4900000 4479.87 -1.5644 752.09 1.00862 0.000652998
5000000 4440.02 -1.31255 745.361 1.00462 0.000656612
5100000 4507.57 -0.980793 756.641 1.00286 0.000645504
5200000 4461.05 -0.67363 748.782 0.993804 0.000646364
5300000 4448.23 -0.750259 746.644 0.980619 0.000638964
5400000 4523.57 -0.0496256 759.17 1.00817 0.000645806
5500000 4419.86 -0.786902 741.889 0.999364 0.000655586
5600000 4414.3 -1.07181 741.004 0.980439 0.000644435
5700000 4454.45 -1.0686 747.741 0.997358 0.000649882
5800000 4475.83 -0.568728 751.245 0.996021 0.000645301
5900000 4443.46 -1.3926 745.951 1.01514 0.000663129
6000000 4398.61 -0.979672 738.354 0.988608 0.000652502
6100000 4480.14 -1.10257 752.057 0.999539 0.00064718
6200000 4486.37 -1.31195 753.138 0.998915 0.000646053
6300000 4453.04 -0.733212 747.448 0.999675 0.000651575
6400000 4442.42 -0.957277 745.703 0.997142 0.000650685
6500000 4437.46 -0.895548 744.86 0.984192 0.000643833
6600000 4502.21 -1.12872 755.766 1.00992 0.000650914
6700000 4467.8 -1.36595 750.031 1.00137 0.000650369
6800000 4456.98 -0.935636 748.143 0.990283 0.000644224
