Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 161003 187746 147034 165261
 100000 632579 739813 576808 649733
 150000 1.40067e+06 1.64237e+06 1.27567e+06 1.43957e+06
 200000 2.45269e+06 2.88299e+06 2.2315e+06 2.52239e+06
 250000 3.77716e+06 4.45049e+06 3.43342e+06 3.88702e+06
 300000 5.36367e+06 6.33502e+06 4.87205e+06 5.52358e+06
 350000 7.20316e+06 8.52776e+06 6.53922e+06 7.42338e+06
 400000 9.28751e+06 1.10206e+07 8.42762e+06 9.57858e+06
 450000 1.16096e+07 1.38063e+07 1.05306e+07 1.19822e+07
 500000 1.41632e+07 1.68783e+07 1.28421e+07 1.46279e+07
 500000 1.41949e+07 1.68504e+07 1.28511e+07 1.46321e+07
 1e+06 5.14216e+07 6.22547e+07 4.62749e+07 5.33171e+07
 1.5e+06 1.07351e+08 1.31872e+08 9.61817e+07 1.11802e+08
 2e+06 1.79488e+08 2.23255e+08 1.59923e+08 1.87555e+08
 2.5e+06 2.66299e+08 3.34584e+08 2.35428e+08 2.78771e+08
 3e+06 3.65956e+08 4.64588e+08 3.21536e+08 3.84027e+08
 3.5e+06 4.76571e+08 6.12046e+08 4.17061e+08 5.01892e+08
 4e+06 5.96616e+08 7.75439e+08 5.21282e+08 6.31112e+08
 4.5e+06 7.24997e+08 9.53527e+08 6.33455e+08 7.70659e+08
 5e+06 8.6087e+08 1.14526e+09 7.53038e+08 9.19723e+08
 5e+06 8.42508e+08 1.13602e+09 7.57177e+08 9.11903e+08
 1e+07 2.43529e+09 3.51707e+09 2.19057e+09 2.71431e+09
 1.5e+07 4.23567e+09 6.16663e+09 3.7719e+09 4.72473e+09
 2e+07 5.93136e+09 8.69044e+09 5.23598e+09 6.61926e+09
 2.5e+07 7.48894e+09 1.10705e+10 6.50857e+09 8.35601e+09
 3e+07 9.05695e+09 1.33105e+10 7.58841e+09 9.98528e+09
 3.5e+07 1.08949e+10 1.54219e+10 8.46732e+09 1.15947e+10
 4e+07 1.31447e+10 1.76582e+10 9.2862e+09 1.3363e+10
 4.5e+07 1.57914e+10 2.01581e+10 1.01663e+10 1.53719e+10
 5e+07 1.86646e+10 2.29568e+10 1.10754e+10 1.75656e+10
 5e+07 2.25495e+10 1.70543e+10 1.62139e+10 1.86059e+10
 1e+08 4.76691e+10 4.14372e+10 1.84105e+10 3.58389e+10
 1.5e+08 9.17824e+10 7.11348e+10 1.25251e+10 5.84808e+10
 2e+08 1.45219e+11 1.15192e+11 2.10527e+10 9.38211e+10
 2.5e+08 2.16481e+11 1.49144e+11 1.5908e+10 1.27178e+11
 3e+08 2.70106e+11 1.6753e+11 1.98126e+10 1.52483e+11
 3.5e+08 3.53731e+11 1.70109e+11 2.42498e+10 1.82696e+11
 4e+08 4.35191e+11 1.63528e+11 2.16042e+10 2.06774e+11
 4.5e+08 5.11891e+11 1.33079e+11 3.24546e+10 2.25808e+11
 5e+08 6.64671e+11 8.02862e+10 3.07637e+10 2.58574e+11
 5e+08 4.33338e+11 1.78955e+11 2.08547e+10 2.1105e+11
