Ar
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__Ar_Ar	MSD__Ar_Arplus	MSD__Arplus_Arplus	
 50000 1.29067e+07 -1.29067e+07 1.29067e+07
 100000 5.14734e+07 -5.14734e+07 5.14734e+07
 150000 1.15471e+08 -1.15471e+08 1.15471e+08
 200000 2.04672e+08 -2.04672e+08 2.04672e+08
 250000 3.18849e+08 -3.18849e+08 3.18849e+08
 300000 4.57776e+08 -4.57776e+08 4.57776e+08
 350000 6.21231e+08 -6.21231e+08 6.21231e+08
 400000 8.08997e+08 -8.08997e+08 8.08997e+08
 450000 1.02086e+09 -1.02086e+09 1.02086e+09
 500000 1.25659e+09 -1.25659e+09 1.25659e+09
 550000 1.51597e+09 -1.51597e+09 1.51597e+09
 600000 1.7988e+09 -1.7988e+09 1.7988e+09
 650000 2.10486e+09 -2.10486e+09 2.10486e+09
 700000 2.43394e+09 -2.43394e+09 2.43394e+09
 750000 2.78584e+09 -2.78584e+09 2.78584e+09
 800000 3.16035e+09 -3.16035e+09 3.16035e+09
 850000 3.55728e+09 -3.55728e+09 3.55728e+09
 900000 3.97644e+09 -3.97644e+09 3.97644e+09
 950000 4.41762e+09 -4.41762e+09 4.41762e+09
 1e+06 4.88064e+09 -4.88064e+09 4.88064e+09
 1e+06 4.88027e+09 -4.88027e+09 4.88027e+09
 2e+06 1.84306e+10 -1.84306e+10 1.84306e+10
 3e+06 3.92943e+10 -3.92943e+10 3.92943e+10
 4e+06 6.64368e+10 -6.64368e+10 6.64368e+10
 5e+06 9.90304e+10 -9.90304e+10 9.90304e+10
 6e+06 1.36397e+11 -1.36397e+11 1.36397e+11
 7e+06 1.77966e+11 -1.77966e+11 1.77966e+11
 8e+06 2.23251e+11 -2.23251e+11 2.23251e+11
 9e+06 2.71794e+11 -2.71794e+11 2.71794e+11
 1e+07 3.23123e+11 -3.23123e+11 3.23123e+11
 1.1e+07 3.76835e+11 -3.76835e+11 3.76835e+11
 1.2e+07 4.32584e+11 -4.32584e+11 4.32584e+11
 1.3e+07 4.9013e+11 -4.9013e+11 4.9013e+11
 1.4e+07 5.49273e+11 -5.49273e+11 5.49273e+11
 1.5e+07 6.09833e+11 -6.09833e+11 6.09833e+11
 1.6e+07 6.71541e+11 -6.71541e+11 6.71541e+11
 1.7e+07 7.34183e+11 -7.34183e+11 7.34183e+11
 1.8e+07 7.97692e+11 -7.97692e+11 7.97692e+11
 1.9e+07 8.61994e+11 -8.61994e+11 8.61994e+11
 2e+07 9.2693e+11 -9.2693e+11 9.2693e+11
 2e+07 9.93704e+11 -9.93704e+11 9.93704e+11
 4e+07 2.29233e+12 -2.29233e+12 2.29233e+12
 6e+07 3.59617e+12 -3.59617e+12 3.59617e+12
 8e+07 4.6063e+12 -4.6063e+12 4.6063e+12
 1e+08 5.58825e+12 -5.58825e+12 5.58825e+12
 1.2e+08 6.71276e+12 -6.71276e+12 6.71276e+12
 1.4e+08 7.71784e+12 -7.71784e+12 7.71784e+12
 1.6e+08 8.52594e+12 -8.52594e+12 8.52594e+12
 1.8e+08 9.1108e+12 -9.1108e+12 9.1108e+12
 2e+08 9.42283e+12 -9.42283e+12 9.42283e+12
 2.2e+08 9.3906e+12 -9.3906e+12 9.3906e+12
 2.4e+08 9.19738e+12 -9.19738e+12 9.19738e+12
 2.6e+08 8.58363e+12 -8.58363e+12 8.58363e+12
 2.8e+08 7.71891e+12 -7.71891e+12 7.71891e+12
 3e+08 6.68528e+12 -6.68528e+12 6.68528e+12
 3.2e+08 5.85622e+12 -5.85622e+12 5.85622e+12
 3.4e+08 5.26817e+12 -5.26817e+12 5.26817e+12
 3.6e+08 4.70631e+12 -4.70631e+12 4.70631e+12
 3.8e+08 3.63898e+12 -3.63898e+12 3.63898e+12
 4e+08 3.18863e+12 -3.18863e+12 3.18863e+12
 4e+08 3.79779e+12 -3.79779e+12 3.79779e+12
