Ar
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__Ar	
 50000 4.13966e+08
 100000 1.64756e+09
 150000 3.68848e+09
 200000 6.52461e+09
 250000 1.0144e+10
 300000 1.45349e+10
 350000 1.96858e+10
 400000 2.55851e+10
 450000 3.22218e+10
 500000 3.95847e+10
 550000 4.76629e+10
 600000 5.64457e+10
 650000 6.59226e+10
 700000 7.60831e+10
 750000 8.6917e+10
 800000 9.84141e+10
 850000 1.10565e+11
 900000 1.23359e+11
 950000 1.36787e+11
 1e+06 1.50839e+11
 1e+06 1.50847e+11
 2e+06 5.49586e+11
 3e+06 1.13166e+12
 4e+06 1.84941e+12
 5e+06 2.66759e+12
 6e+06 3.56018e+12
 7e+06 4.50795e+12
 8e+06 5.49663e+12
 9e+06 6.51563e+12
 1e+07 7.55706e+12
 1.1e+07 8.61509e+12
 1.2e+07 9.68541e+12
 1.3e+07 1.07647e+13
 1.4e+07 1.18506e+13
 1.5e+07 1.29412e+13
 1.6e+07 1.40352e+13
 1.7e+07 1.51315e+13
 1.8e+07 1.62294e+13
 1.9e+07 1.73283e+13
 2e+07 1.84278e+13
 2e+07 1.84138e+13
 4e+07 4.04307e+13
 6e+07 6.24507e+13
 8e+07 8.44409e+13
 1e+08 1.06403e+14
 1.2e+08 1.28435e+14
 1.4e+08 1.50512e+14
 1.6e+08 1.72539e+14
 1.8e+08 1.94513e+14
 2e+08 2.16398e+14
 2.2e+08 2.38267e+14
 2.4e+08 2.6011e+14
 2.6e+08 2.82004e+14
 2.8e+08 3.03865e+14
 3e+08 3.25706e+14
 3.2e+08 3.47615e+14
 3.4e+08 3.69526e+14
 3.6e+08 3.91352e+14
 3.8e+08 4.13173e+14
 4e+08 4.35011e+14
 4e+08 4.35317e+14
 8e+08 8.75392e+14
 1.2e+09 1.31429e+15
 1.6e+09 1.75011e+15
 2e+09 2.18062e+15
