Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 64183.4 58522.7 60460 61055.4
 100000 255498 232858 240613 242990
 150000 572277 521337 538793 544136
 200000 1.01288e+06 922302 953354 962845
 250000 1.57571e+06 1.43413e+06 1.48268e+06 1.49751e+06
 300000 2.25921e+06 2.05523e+06 2.12519e+06 2.14654e+06
 350000 3.06187e+06 2.78401e+06 2.87929e+06 2.90839e+06
 400000 3.98217e+06 3.61888e+06 3.74343e+06 3.78149e+06
 450000 5.01861e+06 4.55827e+06 4.7161e+06 4.76433e+06
 500000 6.16972e+06 5.60064e+06 5.7958e+06 5.85539e+06
 500000 6.17255e+06 5.59825e+06 5.79584e+06 5.85555e+06
 1e+06 2.3684e+07 2.13482e+07 2.21726e+07 2.24016e+07
 1.5e+06 5.12022e+07 4.58037e+07 4.77447e+07 4.82502e+07
 2e+06 8.75675e+07 7.77438e+07 8.12639e+07 8.21918e+07
 2.5e+06 1.31787e+08 1.16174e+08 1.21634e+08 1.23198e+08
 3e+06 1.82982e+08 1.60247e+08 1.67902e+08 1.70377e+08
 3.5e+06 2.40333e+08 2.09264e+08 2.19265e+08 2.22954e+08
 4e+06 3.03082e+08 2.62605e+08 2.75048e+08 2.80245e+08
 4.5e+06 3.70561e+08 3.19691e+08 3.34691e+08 3.41648e+08
 5e+06 4.4222e+08 3.80014e+08 3.97749e+08 4.06661e+08
 5e+06 4.3345e+08 3.77029e+08 3.88108e+08 3.99529e+08
 1e+07 1.29096e+09 1.07739e+09 1.14415e+09 1.17083e+09
 1.5e+07 2.26112e+09 1.81556e+09 2.00848e+09 2.02839e+09
 2e+07 3.27943e+09 2.5481e+09 2.92084e+09 2.91612e+09
 2.5e+07 4.30558e+09 3.33351e+09 3.82757e+09 3.82222e+09
 3e+07 5.31706e+09 4.161e+09 4.72087e+09 4.73298e+09
 3.5e+07 6.29714e+09 4.9962e+09 5.54337e+09 5.61224e+09
 4e+07 7.30725e+09 5.80306e+09 6.30039e+09 6.47023e+09
 4.5e+07 8.37301e+09 6.60139e+09 7.03252e+09 7.33564e+09
 5e+07 9.392e+09 7.43962e+09 7.77481e+09 8.20214e+09
 5e+07 9.78488e+09 8.10625e+09 7.2156e+09 8.36891e+09
 1e+08 1.77287e+10 1.75598e+10 1.34229e+10 1.62371e+10
 1.5e+08 2.68869e+10 2.64288e+10 1.7472e+10 2.35959e+10
 2e+08 3.85934e+10 3.13029e+10 2.23076e+10 3.07347e+10
 2.5e+08 4.98827e+10 3.74294e+10 2.56053e+10 3.76391e+10
 3e+08 5.30391e+10 4.4716e+10 2.6699e+10 4.14847e+10
 3.5e+08 5.44008e+10 5.24477e+10 2.84893e+10 4.51126e+10
 4e+08 5.50665e+10 5.8004e+10 3.20859e+10 4.83855e+10
 4.5e+08 5.63888e+10 6.05216e+10 3.48496e+10 5.05867e+10
 5e+08 5.83353e+10 6.27779e+10 3.4914e+10 5.20091e+10
 5e+08 9.12111e+10 7.68007e+10 3.55338e+10 6.78485e+10
 1e+09 2.33177e+11 1.00535e+11 7.7193e+10 1.36968e+11
 1.5e+09 3.24114e+11 9.74559e+10 1.15784e+11 1.79118e+11
 2e+09 4.05665e+11 3.27211e+10 4.61526e+10 1.61513e+11
