# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
13300000 2977.87 -1.82651 500.063 0.999569
13400000 2977.87 -1.78937 500.057 0.999745
13500000 2977.87 -1.9121 500.078 0.99888
13600000 2977.87 -1.85952 500.069 0.998862
13700000 2977.87 -2.11843 500.112 0.999655
13800000 2977.87 -1.39847 499.991 0.999884
13900000 2977.87 -1.51807 500.012 0.998979
14000000 2977.87 -1.60375 500.026 0.998934
14100000 2977.87 -1.56439 500.019 1.00019
14200000 2977.87 -1.52884 500.013 0.998883
14300000 2977.87 -1.94328 500.083 0.99846
14400000 2977.87 -1.75535 500.051 0.99968
14500000 2977.87 -1.84058 500.066 0.999899
14600000 2977.87 -1.58963 500.024 1.00038
14700000 2977.87 -1.80013 500.059 1.00018
14800000 2977.87 -1.4448 499.999 1.00064
14900000 2977.87 -1.72528 500.046 1.0001
15000000 2977.87 -1.54465 500.016 0.999946
15100000 2977.87 -1.70042 500.042 0.998979
15200000 2977.87 -1.71719 500.045 1.00074
15300000 2977.87 -2.26631 500.137 0.999744
15400000 2977.87 -1.32571 499.979 0.999411
15500000 2977.87 -1.30915 499.976 1.00115
15600000 2977.87 -1.94969 500.084 0.998542
15700000 2977.87 -1.84561 500.066 0.998666
15800000 2977.87 -2.07489 500.105 0.999722
15900000 2977.87 -2.26985 500.137 0.999261
16000000 2977.87 -1.81544 500.061 1.00023
16100000 2977.87 -1.60519 500.026 0.99877
16200000 2977.87 -1.71146 500.044 1.0003
16300000 2977.87 -1.42201 499.996 0.9992
16400000 2977.87 -1.03567 499.93 0.99978
16500000 2977.87 -1.79689 500.058 0.999554
16600000 2977.87 -1.57582 500.021 0.999456
16700000 2977.87 -1.84268 500.066 0.9988
16800000 2977.87 -1.88092 500.072 0.999754
16900000 2977.87 -1.72836 500.047 0.99959
17000000 2977.87 -1.4771 500.005 1.00052
17100000 2977.87 -1.73303 500.048 0.998918
17200000 2977.87 -2.09477 500.108 1.00116
17300000 2977.87 -1.744 500.05 0.999508
17400000 2977.87 -1.79512 500.058 1.00007
17500000 2977.87 -2.06461 500.103 0.999974
17600000 2977.87 -2.17682 500.122 0.999618
17700000 2977.87 -2.07829 500.105 0.999804
17800000 2977.87 -1.80728 500.06 0.999706
17900000 2977.87 -2.37457 500.155 0.998905
18000000 2977.87 -1.53903 500.015 0.99992
18100000 2977.87 -1.40693 499.993 1.00016
18200000 2977.87 -1.30111 499.975 0.999898
18300000 2977.87 -1.70246 500.043 0.999632
18400000 2977.87 -1.59556 500.025 0.999389
18500000 2977.87 -1.96056 500.086 0.99893
18600000 2977.87 -1.75264 500.051 0.998887
18700000 2977.87 -1.54987 500.017 0.999441
18800000 2977.87 -1.77936 500.056 0.998797
18900000 2977.87 -2.18161 500.123 0.999859
19000000 2977.87 -2.11179 500.111 0.999219
19100000 2977.87 -1.69682 500.041 1.00112
19200000 2977.87 -1.757 500.052 0.999741
19300000 2977.87 -2.07096 500.104 0.999118
19400000 2977.87 -1.93057 500.081 0.999844
19500000 2977.87 -1.16098 499.952 0.999081
19600000 2977.87 -2.08165 500.106 0.999811
19700000 2977.87 -2.11467 500.112 0.999236
19800000 2977.87 -1.78454 500.057 0.998903
19900000 2977.87 -1.61564 500.028 0.998733
20000000 2977.87 -2.05644 500.102 1.00009
20100000 2977.87 -1.74951 500.05 0.99917
20200000 2977.87 -1.16188 499.952 1.00094
20300000 2977.87 -1.97338 500.088 0.999006
20400000 2977.87 -1.81497 500.061 1.00051
20500000 2977.87 -1.48375 500.006 0.999425
20600000 2977.87 -1.20893 499.96 1.00002
20700000 2977.87 -1.64908 500.034 0.99889
20800000 2977.87 -1.35397 499.984 1.00012
20900000 2977.87 -1.66838 500.037 0.999285
21000000 2977.87 -1.26857 499.97 0.998922
21100000 2977.87 -1.71693 500.045 0.999729
21200000 2977.87 -1.47246 500.004 1.00007
21300000 2977.87 -1.48876 500.006 0.999748
21400000 2977.87 -1.79078 500.057 0.999
21500000 2977.87 -1.81125 500.061 0.999112
21600000 2977.87 -1.88589 500.073 1.00007
21700000 2977.87 -2.0646 500.103 0.998971
21800000 2977.87 -2.49386 500.175 0.999141
21900000 2977.87 -2.17662 500.122 0.999513
