Ar
#NOTE: MSDs should be divided by (temperature^2).
#NOTE: MSDs have been divided by 2.
#Time	MSD_x	MSD_y	MSD_z	MSD_all
 50000 245.13 231.722 229.614 235.489
 100000 947.957 894.217 886.124 909.433
 150000 2067.6 1946.74 1929.51 1981.29
 200000 3566.07 3351.88 3323.56 3413.84
 250000 5407.68 5075.26 5034.79 5172.58
 300000 7560.46 7086.27 7032.84 7226.52
 350000 9995.53 9357.29 9291.62 9548.15
 400000 12687 11863.3 11788.2 12112.8
 450000 15610.9 14581.3 14502.6 14898.3
 500000 18745.9 17489.7 17416 17883.9
 500000 18693.2 17474 17411.2 17859.5
 1e+06 58143 53836.3 54239.5 55406.3
 1.5e+06 105576 97053.6 98351.3 100327
 2e+06 156913 143609 144533 148352
 2.5e+06 210428 192738 190633 197933
 3e+06 264602 243085 236948 248212
 3.5e+06 318099 293939 284327 298788
 4e+06 370180 345292 332401 349291
 4.5e+06 421079 397432 380560 399690
 5e+06 471334 451120 428666 450374
 5e+06 481240 441092 385005 435779
 1e+07 981649 1.0599e+06 871123 970891
 1.5e+07 1.57187e+06 1.67516e+06 1.41955e+06 1.55553e+06
 2e+07 2.10046e+06 2.30485e+06 2.02773e+06 2.14435e+06
 2.5e+07 2.71248e+06 2.91413e+06 2.62433e+06 2.75031e+06
 3e+07 3.29096e+06 3.49022e+06 3.21909e+06 3.33343e+06
 3.5e+07 3.94325e+06 4.0681e+06 3.88068e+06 3.96401e+06
 4e+07 4.51087e+06 4.60479e+06 4.48213e+06 4.5326e+06
 4.5e+07 5.07378e+06 5.12813e+06 5.00942e+06 5.07045e+06
 5e+07 5.71845e+06 5.64447e+06 5.48933e+06 5.61741e+06
 5e+07 6.63651e+06 4.69762e+06 7.8973e+06 6.41048e+06
 1e+08 1.42725e+07 7.83963e+06 1.25048e+07 1.15389e+07
 1.5e+08 1.68636e+07 1.09922e+07 1.58229e+07 1.45595e+07
 2e+08 1.44155e+07 1.64756e+07 2.51729e+07 1.8688e+07
 2.5e+08 1.66269e+07 1.88092e+07 3.11071e+07 2.21811e+07
 3e+08 2.29635e+07 2.04432e+07 3.72477e+07 2.68848e+07
 3.5e+08 2.65183e+07 2.06168e+07 4.57886e+07 3.09746e+07
 4e+08 2.60994e+07 2.50334e+07 5.44489e+07 3.51939e+07
 4.5e+08 1.56262e+07 3.18774e+07 6.42738e+07 3.72591e+07
 5e+08 1.21653e+07 3.59029e+07 7.54825e+07 4.11836e+07
 5e+08 1.75614e+07 7.40924e+07 3.34194e+07 4.16911e+07
 1e+09 5.87662e+07 1.61811e+08 6.0178e+07 9.35851e+07
